,precision,recall,f1-score,support
extremely,0.9998433093074272,0.9995300751879699,0.9996866677111076,6384.0
mild,1.0,1.0,1.0,43.0
moderate,1.0,0.9957537154989384,0.997872340425532,471.0
severe,0.9952874646559849,0.9990539262062441,0.9971671388101983,1057.0
accuracy,0.9992457573852923,0.9992457573852923,0.9992457573852923,0.9992457573852923
macro avg,0.998782693490853,0.9985844292232882,0.9986815367367095,7955.0
weighted avg,0.9992480875876796,0.9992457573852923,0.9992461627568217,7955.0
